Appid,游戏名称
31200,Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood 
31210,Tales of Monkey Island: Chapter 5 - Rise of the Pirate God
31280,怪诞扑克夜
32370,星球大战：旧共和国的武士
32440,乐高星球大战：完整的传奇
32470,星球大战：帝国战争黄金版
32510,乐高星球大战3：克隆战争
33100,孤胆枪手
33110,孤胆枪手：再度来袭
33120,孤单枪手2：重装上阵
33130,僵尸枪手
33220,细胞分裂：断罪 豪华版
33230,刺客信条2
33770,龙歌：时间之河
33780,龙歌：菲利森的秘密
33900,武装突袭2
33905,ARMA 2 Dedicated Server
33910,Arma 2
33930,武装突袭2：箭头行动
33935,Arma 2: Operation Arrowhead - Dedicated Server
34030,全面战争：拿破仑
34120,Aliens vs Predator Dedicated Server
34270,SEGA Mega Drive & Genesis Classics
34330,全面战争：幕府将军2
34420,十三世纪 黄金版
34830,狙击手：幽灵战士
34850,Sniper: Ghost Warrior - Dedicated Server
34870,狙击手：幽灵战士2
34900,邪恶老鼠：老鼠复仇
35000,迷你忍者
35130,劳拉与光之守护者
35140,蝙蝠侠：阿卡姆疯人院年度版
35420,Killing Floor Mod: Defence Alliance 2
35700,三位一体
35720,三位一体2：完整故事
38400,辐射
38410,辐射2
38420,辐射战略版：钢铁兄弟会
38600,仙女纸牌
39150,最终幻想8
39160,地牢围攻3
39190,地牢围攻
39200,地牢围攻2
39210,最终幻想14
39500,哥特王朝3
39510,哥特王朝2黄金版
39520,行会：黄金版
39650,行会2
39660,行会2：维京霸主(DLC)
39680,行会2：文艺复兴
39690,阿卡尼亚·哥特王朝4
40100,最高指挥官2
40400,智能战争：舰队指挥官
40700,机械迷城 (Machinarium)
40720,银河历险记2
40800,超级食肉男孩
40810,Super Meat Boy Editor
40950,要塞：高清版
40960,要塞2
40970,要塞：十字军东征 高清版
40990,Mafia
41010,英雄萨姆 HD：二次遭遇
41070,英雄萨姆3：BFE
41080,Serious Sam 3 Dedicated Server
41090,Serious Sam 3 Editor
41500,火炬之光
41520,Torchlight Editor
41900,新冰城传奇
42160,War of the Roses
42680,使命召唤8：现代战争3
42690,Call of Duty?: Modern Warfare? 3 (2011) - Multiplayer
42700,使命召唤：黑色行动
42710,使命召唤7：黑色行动
42720,Call of Duty Black Ops - Remote Console
42740,Call of Duty Black Ops - Mod Tools (BETA)
42960,维多利亚2
42980,维多利亚革命
43110,地铁2033
43160,地铁：最后的曙光完整版
44350,超级房车赛：起点2
45740,丧尸围城2
45760,终极街头霸王4：街机版
46380,统治：国家冲突
46500,塞伯利亚之谜
46510,塞伯利亚之谜2
46520,蛮荒天使
47410,要塞王国
47780,死亡空间2
47890,模拟人生3
48000,地狱边境
48180,Tom Clancy's H.A.W.X. 2
48190,刺客信条：兄弟会
48700,骑马与砍杀：战团
48720,骑马与砍杀：火与剑
48810,Ship Simulator Extremes Demo
49520,无主之地2
49540,异形：殖民军
50130,黑手党2
50300,特殊行动：一线生机
50620,暗黑血统
55100,国土防线
55150,战锤40K：星际战士
55230,黑道圣徒3
55280,Homefront Dedicated Server
56400,战锤40K：战争黎明2-惩罚
57300,失忆症：黑暗后裔
57650,地下城
57900,永远的毁灭公爵
57910,Duke Nukem Forever Dedicated Server
58200,极乐浪子
61700,魔法门：英雄交锋
63000,宝库
63380,狙击精英V2
63500,勇士与利剑
63900,虚空魔城
63910,国王的恩赐：交错世界 年度版
63920,King's Bounty: Crossworlds Editor
64000,战争之人：突击小队
65540,哥特王朝1
65600,哥特王朝3：遗弃之神加强版
65610,哥特王朝4：阿卡尼亚-塞塔里夫的堕落
65700,Arma 2: British Armed Forces
