AppID,游戏名称,类型
24720,孢子：银河冒险,Game
24780,模拟城市4 豪华版,Game
24820,The Godfather,game
25000,复仇格斗兔,Game
25830,荣誉骑士,game
25890,Hearts of Iron III,Game
25900,国王的恩赐：传奇,Game
28000,凯恩与林奇2：伏署,Game
29130,音乐盒,Game
29180,星噬,Game
31170,猴岛传奇完整包,Game
31180,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay ,Game
31190,Tales of Monkey Island: Chapter 3 - Lair of the Leviathan ,Game
31200,Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood ,Game
31210,Tales of Monkey Island: Chapter 5 - Rise of the Pirate God,Game
31280,怪诞扑克夜,game
32440,乐高星球大战：完整的传奇,Game
32470,星球大战：帝国战争黄金版,Game
32510,乐高星球大战3：克隆战争,Game
33100,孤胆枪手,Game
33110,孤胆枪手：再度来袭,Game
33120,孤单枪手2：重装上阵,Game
33130,僵尸枪手,Game
33220,细胞分裂：断罪 豪华版,Game
33770,龙歌：时间之河,Game
33780,龙歌：菲利森的秘密,Game
33900,武装突袭2,Game
33905,ARMA 2 Dedicated Server,Tool
33910,Arma 2,Game
33930,武装突袭2：箭头行动,Game
33935,Arma 2: Operation Arrowhead - Dedicated Server,Tool
34030,全面战争：拿破仑,Game
34120,Aliens vs Predator Dedicated Server,Tool
34270,SEGA Mega Drive & Genesis Classics,Game
34330,全面战争：幕府将军2,Game
34420,十三世纪 黄金版,Game
34830,狙击手：幽灵战士,Game
34850,Sniper: Ghost Warrior - Dedicated Server,Tool
34870,狙击手：幽灵战士2,Game
34900,邪恶老鼠：老鼠复仇,Game
35000,迷你忍者,Game
35130,劳拉与光之守护者,Game
35140,蝙蝠侠：阿卡姆疯人院年度版,Game
35420,Killing Floor Mod: Defence Alliance 2,Game
35700,三位一体,Game
35720,三位一体2：完整故事,Game
38400,辐射,Game
38410,辐射2,Game
38420,辐射战略版：钢铁兄弟会,Game
38600,仙女纸牌,Game
39140,最终幻想7,Game
39150,最终幻想8,Game
39160,地牢围攻3,Game
39190,地牢围攻,Game
39200,地牢围攻2,Game
39210,最终幻想14,Game
39500,哥特王朝3,Game
39510,哥特王朝2黄金版,Game
39520,行会：黄金版,Game
39650,行会2,Game
39660,行会2：维京霸主(DLC),Game
39680,行会2：文艺复兴,Game
39690,阿卡尼亚·哥特王朝4,Game
40100,最高指挥官2,Game
40400,智能战争：舰队指挥官,Game
40700,机械迷城 (Machinarium),Game
40720,银河历险记2,Game
40800,超级食肉男孩,Game
40810,Super Meat Boy Editor,Tool
40950,要塞：高清版,Game
40960,要塞2,Game
40970,要塞：十字军东征 高清版,Game
40990,Mafia,Game
41010,英雄萨姆 HD：二次遭遇,Game
41070,英雄萨姆3：BFE,Game
41080,Serious Sam 3 Dedicated Server,Tool
41090,Serious Sam 3 Editor,Tool
41500,火炬之光,Game
41520,Torchlight Editor,Tool
41900,新冰城传奇,Game
42160,War of the Roses,Game
42680,使命召唤8：现代战争3,Game
42690,Call of Duty®: Modern Warfare® 3 (2011) - Multiplayer,Game
42700,使命召唤：黑色行动,Game
42710,使命召唤7：黑色行动,Game
42720,Call of Duty Black Ops - Remote Console,Tool
42740,Call of Duty Black Ops - Mod Tools (BETA),Tool
42960,维多利亚2,Game
42980,维多利亚革命,Game
43110,地铁2033,Game
43160,地铁：最后的曙光完整版,Game
44350,超级房车赛：起点2,Game
45740,丧尸围城2,Game
45760,终极街头霸王4：街机版,Game
46380,统治：国家冲突,Game
46500,塞伯利亚之谜,Game
46510,塞伯利亚之谜2,Game
46520,蛮荒天使,Game
47410,要塞王国,Game
47780,死亡空间2,Game
47890,模拟人生3,Game
48000,地狱边境,Game
48180,Tom Clancy's H.A.W.X. 2,Game
48700,骑马与砍杀：战团,Game
48720,骑马与砍杀：火与剑,Game
49520,无主之地2,Game
49540,异形：殖民军,Game
50130,黑手党2,Game
50300,特殊行动：一线生机,Game
50620,暗黑血统,Game
55100,国土防线,Game
55150,战锤40K：星际战士,Game
55230,黑道圣徒3,Game
55280,Homefront Dedicated Server,Tool
56400,战锤40K：战争黎明2-惩罚,Game
57300,失忆症：黑暗后裔,Game
57650,地下城,Game
57900,永远的毁灭公爵,Game
57910,Duke Nukem Forever Dedicated Server,Tool
58200,极乐浪子,Game
58560,逃亡：命运无常,Game
58610,战争游戏：欧洲扩张,Game
61700,魔法门：英雄交锋,game
63000,宝库,Game
63380,狙击精英V2,Game
63500,勇士与利剑,Game
63900,虚空魔城,Game
63910,国王的恩赐：交错世界 年度版,Game
63920,King's Bounty: Crossworlds Editor,Tool
64000,战争之人：突击小队,Game
65300,尘埃克星,game
65540,哥特王朝1,Game
65600,哥特王朝3：遗弃之神加强版,Game
65610,哥特王朝4：阿卡尼亚-塞塔里夫的堕落,Game
65700,Arma 2: British Armed Forces,Game
65720,Arma 2: Private Military Company,Game
65780,武装突袭：黄金版,Game
65790,武装突袭：冷战突击,Game
65800,地牢守护者,Game
65930,调查局：幽浮解密,Game
65980,文明：太空,Game
67370,黑暗领域2,Game
70000,恐龙降临日,Game
70004,Dino D-Day SDK,Tool
70110,黑客进化：不为人知的危机,Game
70300,弹弹跳跳闪避人,Game
70600,百战天虫：终极伤害,Game
70620,百战天虫：疯狂高尔夫,Game
70640,百战天虫,Game
70650,百战天虫：爆发,Game
70660,百战天虫：弹珠,Game
71340,索尼克世代,Game
72850,上古卷轴5：天际,Game
73010,都市运输,Game
90200,模拟农场2011,Game
91100,空中狂飙,Game
92200,Gundemonium系列合集,game
92210,日系竖版弹幕射击,Game
92220,弹幕射击之GundeadliGne,Game
92700,暗影捕获：幽灵行动,Game
94300,造梦机器,Game
95400,艾波与欧波,Game
96000,小小星球大碰撞,Game
96100,反重力场：扩展版,Game
99300,变节行动,Game
102400,尖端运筹大师,Game
102600,兽人必须死,Game
102840,闪克2,Game
104600,传送门2：最后时刻,Game
104900,猎户座：恐龙部落,Game
105400,Fable III,Game
105450,帝国时代3：完全典藏版,Game
105600,泰拉瑞亚,Game
107100,堡垒,Game
107410,武装突袭3,Game
107430,Arma X: Anniversary Edition,game
108200,车票之旅,Game
108600,僵尸毁灭工程,Game
108710,心灵杀手,Game
110800,黑色洛城,Game
112100,阿瓦登：黑暗城堡,Game
113020,摩纳哥：你的就是我的,Game
113200,以撒的结合,Game
115320,虐杀原形2,Game
200170,百战天虫：革命,Game
200260,蝙蝠侠：阿卡姆之城年度版,Game
200510,幽浮：未知敌人,Game
200710,火炬之光2,Game
200940,索尼克CD,Game
200960,基因制造1,Game
200980,基因制造2,Game
200990,基因制造3,Game
201000,基因制造4,Game
201010,基因制造5,Game
201310,X3：阿尔比恩序曲,Game
201700,DiRT Showdown,Game
201790,兽人必须死2,Game
201810,德军总部：新秩序,Game
201830,侏罗纪公园,Game
202090,Magicka: Wizard Wars,Game
202170,热血无赖,Game
202200,银河文明2：终极版,Game
202480,Skyrim Creation Kit,Tool
202750,心灵杀手：美国噩梦,Game
202920,Total War: Shogun 2 - TEd,Tool
202930,Total War: Shogun 2 - Assembly Kit,Tool
202970,使命召唤：黑色行动2,Game
202990,使命召唤9：黑色行动2,Game
203140,杀手：赦免,Game
203160,古墓丽影,Game
203350,国王的恩赐：北方勇士,Game
203770,十字军之王2,Game
203830,黑暗之眼：桑缇娜夫的羁绊,Game
204030,神鬼寓言：失落之章,Game
204100,马克思佩恩3,Game
204120,乐高哈利波特：第5-7年,Game
204240,桥,Game
204360,城堡破坏者,Game
204450,狂野西部：枪手,Game
204630,荒野老城DX,Game
204880,太阳帝国的原罪：反叛,Game
205100,耻辱,Game
205930,Hitman: Sniper Challenge,Game
206020,阿佛纳姆4,Game
206040,阿佛纳姆5,Game
206060,阿佛纳姆6,Game
206420,黑道圣徒4,Game
206440,To the Moon《去月球》,Game
206610,3D转换,Game
206980,War of the Roses Balance Beta,Game
207140,极速奔跑者,Game
207350,伊苏：起源,Game
207610,行尸走肉：第一季,Game
207930,神圣堡垒,Game
208140,无尽空间,Game
208400,阿佛纳姆：陷阱逃生,Game
208520,黑手党：黑帮之城,Game
208610,Skullgirls ∞Endless Beta∞,Game
208650,蝙蝠侠：阿卡姆骑士,Game
209000,蝙蝠侠：阿卡姆起源,Game
209080,伊卡罗斯之炮OL,Game
209120,街头霸王X铁拳,Game
209160,使命召唤：幽灵,Game
209170,使命召唤10：幽灵,Game
209370,类似：仇恨故事,Game
209540,强袭装甲零号,Game
209650,使命召唤11：高级战争 黄金版,Game
209660,使命召唤11：高级战争-黄金版,Game
209670,表层指挥,Game
210770,幽闭圣地2,Game
210970,见证者,Game
211010,Alien Shooter 2 Conscription,Game
211400,Deadlight,Game
211420,DARK SOULS™: Prepare To Die Edition,Game
211500,竞速空间：赛车体验,Game
211740,Thief™ II: The Metal Age,Game
211820,星界边境,Game
212480,索尼克全明星赛车：变形,Game
212680,超越光速,Game
212910,Call of Duty: Black Ops II - Zombies,Game
213030,Penny Arcade's On the Rain-Slick Precipice of Darkness 3,Game
213040,ORION: Prelude Dedicated Server,Tool
213120,Transformers: Fall of Cybertron,Game
213330,乐高蝙蝠侠2,Game
213670,南方公园：真理之杖,Game
214170,Divine Divinity,Game
214190,Minimum,Game
214250,我还活着,Game
214340,德波尼亚,Game
214490,异形：隔离,Game
214510,乐高：指环王,Game
214950,全面战争：罗马2 - 帝皇版,Game
215280,隐秘世界,Game
215530,范海辛的奇妙冒险,Game
215550,Zombie Playground™,Game
215770,Shad'O,Game
215790,Dream Pinball 3D,Game
215930,Jagged Alliance 2 - Wildfire ,Game
216110,Tiny Troopers,Game
216250,Dead Island Riptide,Game
217200,百战天虫：末日浩劫,Game
217270,空手道,Game
218020,Nethergate: Resurrection,Game
218510,Planets Under Attack,Game
218620,收获日2,Game
218640,卢修斯,Game
218660,iBomber Attack,Game
218680,涂鸦冒险家：无限,Game
218820,Mercenary Kings,Game
219150,火线迈阿密,Game
219640,骑士：中世纪战争,Game
219740,饥荒,Game
219760,Beyond Divinity,Game
219780,Divinity II: Developer's Cut,Game
219950,NiGHTS into Dreams...,Game
219990,恐怖黎明,Game
220050,行尸走肉：生存本能,Game
220090,The Journey Down: Chapter One,Game
220200,坎巴拉太空计划,Game
220240,孤岛惊魂3,Game
220440,DmC：鬼泣,Game
220460,Cargo Commander,Game
220740,混乱的德波尼亚,Game
220820,僵尸车手 高清版,Game
221040,生化危机6,Game
221100,僵尸末日,Game
221260,小小炼狱,Game
221380,帝国时代2：高清版,Game
221680,Rocksmith® 2014 Edition - Remastered,Game
221910,史丹利的寓言,Game
222180,Mushroom Men: Truffle Trouble ,Game
222440,拳皇2002UM,Game
222480,生化危机启示录,Game
222730,造物主,Game
222750,战争游戏：空地一体战,Game
222860,Left 4 Dead 2 Dedicated Server,Tool
222880,叛乱,Game
222900,Dead Island: Epidemic,Game
222940,拳皇13,Game
222980,Dead Pixels,Game
223070,Torchlight II GUTS,Tool
223100,国土防线2：革命,Game
223350,DayZ Server,Tool
